label,problem
bài toán tính tuổi,ở một trường trung học cơ sở tuổi trung bình của các giáo viên nữ trong trường là 36 tuổi trung bình của các giáo viên nam trong trường là 40 tính tuổi trung bình của các giáo viên nam các giáo viên nữ biết rằng số giáo viên nữ gấp ba lần số giáo viên nam  
bài toán tính tuổi,nhà may a sản xuất một lô áo gồm 200 chiếc áo với giá vốn là 30 000 000đồng giá bán mỗi chiếc áo sẽ là 300 000 đồng khi đó gọi kđồng là số tiền lời hoặc lỗ của nhà may thu được khi bán t chiếc áo athiết lập hàm số của k theo t bhỏi cần phải bán bao nhiêu chiếc áo mới có thể thu hồi được vốn ban đầu cđể lời được 6 000 000 đồng thì cần phải bán bao nhiêu chiếc áo 
bài toán tính tuổi,một nhà may a sản xuất một lô áo là 500 chiếc áo với tổng số vốn ban đầu là 30 triệu đồng giá bán ra mỗi chiếc áo là 200 000 đồng khi đó gọi k đồng là số tiền lời hoặc lỗ của nhà may a thu được khi bán t chiếc áo athiết lập hàm số của k theo t bhỏi phải bán được ít nhất bao nhiêu chiếc áo thì nhà may bắt đầu có lời 
bài toán tính tuổi,đề 110 tại cửa hàng giá niêm yết của một cái áo là 300 000 đồng nếu bán với giá bằng ba phần tư giá niêm yết thì cửa hàng lãi 25 so với giá gốc hỏi để lãi 40 thì cửa hàng phải niêm yết giá một cái áo là bao nhiêu 
bài toán tính tuổi,đề 110 một vật có khối lượng 279 g có thể tích 37 ml là hợp kim của sắt kẽm tính xem trong đó có bao nhiêu gam sắt bao nhiêu gam kẽm biết khối lượng riêng của sắt là 7800 kgm3 khối lượng riêng của kẽm là 7000 kgm3 
bài toán tính tuổi,thực hiện chương trình khuyến mãi ngày chủ nhật vàng một cửa hàng điện máy giảm giá 50 trên 1 tivi cho lô hàng tivi 40 cái với giá bán lẻ trước đó là 6500000đcái đến trưa cùng ngày thì cửa hàng đã bán được 20 cái cửa hàng quyết định giảm thêm 10 nữa của giá đã giảm lần 1 cho số tivi còn lại atính số tiền mà cửa hàng thu được khi bán hết lô hàng tivi bbiết rằng giá vốn là 2850000 đcái tivi hỏi cửa hàng lời hay lỗ khi bán hết lô hàng tivi đó 
bài toán tính tuổi,siêu thị aeon mall bình tân thực hiện chương trình giảm giá cho khách hàng mua loại nước rửa chén sunlight trà xanh loại 45 lít như sau nếu mua 1 can giảm 8000 đồng so với giá niêm yết nếu mua 2 can thì can thứ nhất giảm 8000 đồng can thứ hai giảm 15000 đồng so với giá niêm yết nếu mua từ ba can trở lên thì ngoài hai can đầu được hưởng chương trình giảm giá như trên từ can thứ 3 trở đi mỗi can sẽ được giảm giá 20 so với giá niêm yết ông a mua 5 can nước rửa chén sunlight trà xanh loại 45 lít ở siêu thị aeon mall bình tân thì phải trả bao nhiêu tiền biết giá niêm yết là 115000 đồngcan 
bài toán tính tuổi,giá bán của một chiếc tivi giảm giá hai lần mỗi lần giảm 10 so với giá đang bán  sau khi giảm giá hai lần thì giá còn lại là 16 000 000 đồng vậy giá bán ban đầu của chiếc tivi là bao nhiêu  
bài toán tính tuổi,thực hiện chương tŕnh khuyến mãi tri ân khách hàng một siêu thị điện máy khuyến mãi giảm giá 15 trên 1 chiếc ti vi sau đó để thu hút khách hàng siêu thị lại giảm thêm 10 nữa so với giá đă giảm lần 1 nên giá bán của chiếc ti vi lúc này là 11 475 000 đồng a hỏi giá bán ban đầu của 1 chiếc ti vi nếu không khuyến mãi là bao nhiêu b biết rằng giá vốn là 10 500 000 đồng  chiếc tivi hỏi nếu bán hết 20 chiếc ti vi trong đợt khuyến mãi thứ 2 thì siêu thị lời bao nhiêu tiền 
bài toán tính tuổi,ông tư dự định mua một trong hai loại xe máy như sau loại 1 giá 23 triệu đồng lượng xăng tiêu thụ là 60 kmlít loại 2 giá 265 triệu đồng lượng xăng tiêu thụ là 64 kmlít giá trung bình mỗi lít xăng là 23 ngàn đồng ông tư dự định mua xe máy mỗi năm ông đi khoảng 7525 km a gọi t triệu đồng là chi phí của xe theo thời gian t tính theo năm lập hàm số của t theo t của hai loại xe trên b với thời gian đi 10 năm thì nên chọn xe nào tiết kiệm hơn làm tròn đến hàng đơn vị 
bài toán tính tuổi,bác tư mua 1 con heo 1 con bò sau 1 thời gian do heo mất giá nên ông bán giá 8 triệu đồng bị lỗ 20 may mắn ông gỡ lại thiệt hại nhờ con bò lên giá nên ông bán với giá 18 triệu đồng lời20 hỏi sau khi bán con heo con bò ông lời hay lỗ bao nhiêu tiền  
bài toán tính tuổi,nhân dịp lễ giỗ tổ hùng vương  một siêu thị điện máy đã giảm giá nhiều mặt hàng để kích cầu mua sắm giá niêm yết một tủ lạnh một máy giặt có tổng số tiền là 254triệu đồng trong dịp này giá một tủ lạnh giảm 40 giá bán giá một máy giặt giảm 25 giá bán nên cô liên đã mua hai món đồ trên với tổng số tiền là 1677 triệu đồng hỏi giá mỗi món đồ trên khi chưa giảm giá là bao nhiêu tiền  
bài toán tính tuổi,cửa hàng đồng giá 40 000đồng một món có chương trình giảm giá 20 cho một món hàng nếu khách hàng mua 5 món trở lên thì từ món thứ 5 trở đi khách hàng chỉ phải trả 60giá đang bán atính số tiền một khách hàng phải trả khi mua 7 món hàng bnếu có khách hàng đã trả 272 000đồng thì khách hàng này đã mua bao nhiêu món hàng  
bài toán tính tuổi,thực hiện chương trình khuyến mãi ngày chủ nhật vàng một cửa hàng điện máy x tổ chức bán hàng giảm giá cho tất cả các sản phẩm điện máy một chiếc ti vi được niêm yết giá bán là 12 150 000 đồng biết rằng giá bán này đã được siêu thị giảm giá 2 lần mỗi lần 10 hỏi giá bán chiếc tivi đó của siêu thị khi chưa giảm giá là bao nhiêu 
bài toán tính tuổi,một đợt bán xe đạp ở cửa hàng sau khi giảm giá lần đầu là 10 lần thứ hai là 5 thì bây giờ đã tăng 8 trở lại biết giá giảm hay tăng giá được tính dựa theo giá đang bán hiện tại giá mỗi chiếc xe đạp là 7387200 đồng tính giá gốc ban đầu khi chưa tăng giảm của đợt bán xe đạp này 
bài toán tính tuổi,để khuyến khích tiết kiệm điện giá điện sinh hoạt được tính theo kiểu lũy tiến nghĩa là nếu người sử dụng càng dùng nhiều điện thì giá mỗi số điện  1kwh càng tăng lên theo các mức như sau mức thứ nhất tính cho 100 số điện đầu tiền mức thứ hai tính cho số điện thứ 101 đến 150 mỗi số đắt hơn 150 đồng so với mức thứ nhất mức thứ ba tính cho số điện thứ 151 đến 200 mỗi số đắt hơn 200 đồng so với mức thứ hai vv ngoài ra người sử dụng còn phải trả thêm 10 thuế giá trị gia tăng thuế vat tháng vừa qua nhà tuấn dùng hết 165 số điện phải trả 95700 đồng hỏi mỗi số điện ở mức thứ nhất giá là bao nhiêu 
bài toán tính tuổi,bác bình gửi tiết kiệm 100 triệu đồng vào ngân hàng a kì hạn một năm cùng ngày bác gửi tiết kiệm 150 triệu đồng vào ngân hàng b kì hạn một năm với lãi suất cao hơn lãi suất của ngân hàng a là 1năm biết sau đúng một năm kể từ ngày gửi tiền bác bình nhận được tổng sổ tiền lãi là 165 triệu đồng từ hai khoản tiền gửi tiết kiệm nêu trên hỏi lãi suất tiền gửi tiết kiệm kì hạn một năm của ngân hàng a là bao nhiêu phần trăm 
